date,port_1,port_2,port_3,port_4,port_5,hl,hl_cum,h_cum,l_cum,model_name
2000-01-28,-2.8368201,8.260074,17.730211,,,,0.0,0.0,-0.028368175,Lasso
2000-02-28,0.32787168,7.2257967,40.55352,,,,0.0,0.0,-0.025182426,Lasso
2000-03-28,2.3908694,5.581985,4.8599095,-1.3292487,,,0.0,0.0,-0.0018757582,Lasso
2000-04-28,-5.0758095,-1.5242728,-1.672808,,,,0.0,0.0,-0.052538693,Lasso
2000-05-28,-8.117737,-1.7867002,-0.7459049,-1.5194235,,,0.0,0.0,-0.1294511,Lasso
2000-06-28,10.0372925,6.1049047,3.1394775,2.742361,,,0.0,0.0,-0.04207158,Lasso
2000-07-28,2.9957166,0.6702491,-0.09377626,-2.9564116,,,0.0,0.0,-0.013374746,Lasso
2000-08-28,11.136704,7.619807,4.62978,,,,0.0,0.0,0.09650278,Lasso
2000-09-28,-1.9673626,-4.0801053,-1.9539957,-0.7406398,,,0.0,0.0,0.07493055,Lasso
2000-10-28,-6.2764125,-2.4910412,-1.9757323,,,,0.0,0.0,0.007463455,Lasso
2000-11-28,-15.201367,-4.876648,-7.3941054,-5.3385243,,,0.0,0.0,-0.14568478,Lasso
2000-12-28,-4.010306,3.8563168,7.12126,5.7109466,,,0.0,0.0,-0.17994547,Lasso
2001-01-28,7.3170795,33.90705,25.16561,11.31061,,,0.0,0.0,-0.11994141,Lasso
2001-02-28,-5.545285,-0.47490582,-9.569547,,,,0.0,0.0,-0.16874313,Lasso
2001-03-28,-8.356479,-0.36480537,-4.572814,0.34814066,,,0.0,0.0,-0.23820692,Lasso
2001-04-28,12.427375,6.1825914,9.67505,3.911498,,,0.0,0.0,-0.14353603,Lasso
2001-05-28,4.194043,4.9352427,11.037869,11.399366,,,0.0,0.0,-0.10761553,Lasso
2001-06-28,0.9333556,4.127493,2.5190313,,,,0.0,0.0,-0.09928638,Lasso
2001-07-28,-0.5667402,-2.018173,-2.9149969,1.0138932,,,0.0,0.0,-0.1043911,Lasso
2001-08-28,-4.1284213,-2.980938,1.1846867,,,,0.0,0.0,-0.14136559,Lasso
2001-09-28,-13.803978,-9.340011,-12.527605,-6.203782,,,0.0,0.0,-0.25989127,Lasso
2001-10-28,10.824971,9.243725,5.4717884,-8.378886,,,0.0,0.0,-0.17977476,Lasso
2001-11-28,8.091708,6.036971,8.974279,,,,0.0,0.0,-0.11340451,Lasso
2001-12-28,5.012872,7.010521,7.5677223,9.832829,,,0.0,0.0,-0.06896061,Lasso
2002-01-28,-0.37924275,1.8948447,4.687522,3.100601,,,0.0,0.0,-0.07249147,Lasso
2002-02-28,-3.4983914,-1.0776616,0.96169096,0.8983997,,,0.0,0.0,-0.10493934,Lasso
2002-03-28,9.4150715,7.1294503,7.249288,9.787754,,,0.0,0.0,-0.020668805,Lasso
2002-04-28,-0.24843264,2.5292158,0.93062025,,,,0.0,0.0,-0.023101807,Lasso
2002-05-28,-4.9428806,-1.7767736,0.26604134,2.5086958,,,0.0,0.0,-0.07138872,Lasso
2002-06-28,-8.444573,-2.7356799,-5.8840938,-4.7212667,,,0.0,0.0,-0.14980596,Lasso
2002-07-28,-11.682683,-11.19592,-10.715638,-11.324693,,,0.0,0.0,-0.24913144,Lasso
2002-08-28,1.5071137,1.4351099,1.4946524,-6.1704,,,0.0,0.0,-0.23781496,Lasso
2002-09-28,-9.73365,-8.235405,-6.681687,-6.058577,,,0.0,0.0,-0.31200343,Lasso
2002-10-28,6.162379,2.9159944,4.6432176,4.197376,,,0.0,0.0,-0.26960647,Lasso
2002-11-28,9.42832,4.529055,9.756426,20.7208,,,0.0,0.0,-0.2007426,Lasso
2002-12-28,-5.211529,2.5524037,-3.2537048,-7.7277126,,,0.0,0.0,-0.24239612,Lasso
2003-01-28,2.4148822,0.7684704,-1.9514247,-1.197502,,,0.0,0.0,-0.22410089,Lasso
